,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,neutral_location
660,4,48,0,0,3,1,0
661,52,137,0,0,0,0,0
662,127,66,0,0,0,0,0
663,52,137,0,0,0,0,0
664,27,21,0,0,1,0,0
665,66,76,0,0,3,1,0
666,52,137,0,0,0,1,0
667,30,22,0,0,2,0,0
668,151,119,0,0,1,0,0
669,36,12,0,0,0,3,1
670,27,15,0,0,0,2,0
671,50,30,0,0,0,0,0
672,76,117,0,0,2,0,0
673,106,94,0,0,1,0,0
674,31,82,0,0,0,0,0
675,114,70,0,0,3,1,0
676,115,74,0,0,1,0,0
677,66,123,0,0,3,0,0
678,36,10,0,0,1,5,1
679,27,14,0,0,0,2,0
680,86,137,0,0,0,0,0
681,146,21,0,0,0,3,0
682,14,15,0,0,1,1,1
683,12,10,0,0,0,0,1
684,14,10,0,0,2,0,1
685,15,12,0,0,1,1,1
686,25,86,0,0,0,0,0
687,6,19,0,0,0,1,0
688,2,37,0,0,2,2,0
689,74,57,0,0,2,1,0
690,93,22,0,0,0,0,0
691,145,106,0,0,1,2,0
692,115,116,0,0,2,0,0
693,26,114,0,0,3,1,0
694,25,97,0,0,2,2,0
695,135,82,0,0,0,2,0
696,127,50,0,0,1,1,0
697,94,123,0,0,4,2,0
698,70,117,0,0,1,1,0
699,51,31,0,0,4,1,0
700,67,28,0,0,2,3,0
701,63,20,0,0,1,1,0
702,30,137,0,0,1,0,0
703,35,17,0,0,1,0,1
704,15,37,0,0,1,0,1
705,119,8,0,0,0,7,1
706,67,8,0,0,0,2,0
707,28,11,0,0,1,0,0
708,30,127,0,0,0,0,0
709,58,17,0,0,0,1,0
710,10,16,0,0,4,1,0
711,42,128,0,0,4,2,0
712,58,36,0,0,2,1,0
713,67,119,0,0,3,1,0
714,9,18,0,0,1,0,0
715,91,38,0,0,2,1,0
716,48,11,0,0,1,1,0
717,91,38,0,0,2,2,0
718,40,35,0,0,0,0,1
719,98,36,0,0,0,3,0
720,108,42,0,0,0,0,0
721,37,33,0,0,1,1,1
722,107,100,0,0,3,0,0
723,1,44,0,0,5,0,0
724,86,127,0,0,0,1,0
725,8,19,0,0,0,1,0
726,2,5,0,0,0,0,0
727,92,37,0,0,3,2,0
728,42,37,0,0,1,2,1
729,108,33,0,0,2,3,0
730,108,42,0,0,1,1,0
731,37,33,0,0,2,2,1
732,35,51,0,0,2,0,0
733,70,4,0,0,3,3,0
734,34,46,0,0,4,1,0
735,26,11,0,0,1,1,0
736,63,74,0,0,3,1,0
737,96,82,0,0,3,1,1
738,44,17,0,0,2,1,0
739,49,40,0,0,2,1,0
740,116,92,0,0,0,5,0
741,117,154,0,0,0,1,0
742,116,96,0,0,1,1,0
743,84,175,0,0,0,0,0
744,116,82,0,0,1,0,0
745,96,92,0,0,3,1,1
746,32,61,0,0,4,1,0
747,92,82,0,0,0,1,1
748,145,131,0,0,2,0,0
749,16,36,0,0,2,1,0
750,35,55,0,0,3,0,0
751,149,120,0,0,3,3,0
752,64,81,0,0,4,0,0
753,3,119,0,0,4,1,0
754,142,133,0,0,0,2,1
755,159,133,0,0,1,0,1
756,22,36,0,0,2,2,0
757,117,155,0,0,3,0,0
758,132,28,0,0,1,1,0
759,106,110,0,0,3,0,0
760,52,74,0,0,5,0,0
761,1,53,0,0,1,1,0
762,14,45,0,0,3,1,0
763,70,15,0,0,1,1,0
764,34,123,0,0,4,2,0
765,20,36,0,0,0,0,0
766,98,5,0,0,0,2,0
767,63,11,0,0,2,2,0
768,10,50,0,0,1,1,0
769,40,18,0,0,0,0,0
770,61,64,0,0,0,0,0
771,127,6,0,0,0,2,0
772,9,38,0,0,1,2,1
773,142,159,0,0,2,0,1
774,8,86,0,0,4,0,0
775,12,32,0,0,2,1,0
776,17,30,0,0,0,0,0
777,135,46,0,0,0,2,0
778,44,148,0,0,4,1,0
779,89,119,0,0,3,0,0
780,2,23,0,0,1,1,0
781,143,116,0,0,2,2,0
782,49,4,0,0,2,1,0
783,81,3,0,0,0,2,0
784,149,120,0,0,3,0,0
785,116,133,0,0,0,0,1
786,143,142,0,0,2,1,0
787,113,28,0,0,1,2,0
788,67,147,0,0,7,0,0
789,155,117,0,0,0,4,0
790,143,116,0,0,1,0,0
791,48,121,0,0,0,0,0
792,36,76,0,0,1,0,0
793,99,51,0,0,0,1,0
794,71,25,0,0,1,0,0
795,73,65,0,0,2,0,0
796,21,67,0,0,1,0,0
797,111,104,0,0,1,1,0
798,56,146,0,0,5,0,0
799,137,41,0,0,0,2,0
800,35,101,0,0,0,0,0
801,91,55,0,0,1,0,0
802,131,145,0,0,4,0,0
